P_NAME,P_MASS,P_RADIUS,P_PERIOD,P_GRAVITY,P_DENSITY,P_DISTANCE,P_FLUX,P_TEMP_EQUIL,P_TEMP_SURF,P_TYPE,P_TYPE_TEMP,S_NAME,S_TYPE_TEMP,S_RA,S_DEC,S_MAG,S_TEMPERATURE,S_MASS,S_RADIUS,S_METALLICITY,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_SNOW_LINE,S_ABIO_ZONE,P_HABZONE_OPT,P_HABZONE_CON,P_HABITABLE,P_ESI
OGLE-2016-BLG-1227L b,250,13.9,,1.2939289,0.093088409,3.4,,,,Jovian,,OGLE-2016-BLG-1227L,,265.59713,-33.759778,,,0.1,,,,,,,,,,0,0,0,
Kepler-276 c,16.6,2.9,31.884,1.9738407,0.68063471,0.1994,20.490365,541.98483,,Neptunian,Hot,Kepler-276,G,293.5682,39.036312,15.481,5779,1.1,1.03,0.02,0.81470428,0.67733674,1.5957419,0.85793091,1.5129084,2.4370462,2.0977833,0,0,0,0.27203194
Kepler-829 b,5.1,2.11,6.8833756,1.1455268,0.54290371,0.0678,238.52868,1001.1171,1130.6044,Superterran,Hot,Kepler-829,G,282.33283,42.463813,14.973,5698,0.98,0.97,0.03,1.0964782,0.78960296,1.8643421,1.0001322,1.7675657,2.8272471,1.7563169,0,0,0,0.25476271
K2-283 b,12.2,3.52,1.921036,0.98463326,0.27972536,0.0291,353.35726,1104.4682,,Neptunian,Hot,K2-283,K,13.194368,9.6929181,14.364,5060,0.89,0.82,0.28,0.29922646,0.42721564,1.0304731,0.54113104,0.9769811,1.4769431,0.56837407,0,0,0,0.19390612
Kepler-477 b,4.94,2.07,11.119907,1.1528857,0.55694962,0.0911,51.163853,681.30334,769.42507,Superterran,Hot,Kepler-477,K,288.06745,42.355305,13.835,5240,0.87,0.79,-0.04,0.42461956,0.50426386,1.2081679,0.63872145,1.1454523,1.7593967,0.76850241,0,0,0,0.27672114
TOI-1260 c,13.2,2.76,7.493134,1.7328292,0.62783668,0.0657,29.91364,595.75408,,Neptunian,Hot,TOI-1260,K,157.14407,65.854199,11.922,4227,0.68,0.67,-0.1,0.12912193,0.28981995,0.72539684,0.36710237,0.68773744,0.97020557,0.1242103,0,0,0,0.26044049
HD 149143 b,422.7139,13.6,4.07182,2.2854341,0.16804663,0.053007391,797.0927,1353.4874,,Jovian,Hot,HD 149143,G,248.21267,2.0844547,7.89,5856,1.2,1.44,0.29,2.2387211,1.1175982,2.627713,1.4155736,2.4913109,4.0398363,2.4649488,0,0,0,0.067319209
HD 99492 b,25.5,5.44,17.0503,0.86167279,0.15839573,0.12006936,23.274946,559.40675,,Neptunian,Hot,HD 99492,K,171.68969,3.0071331,7.56727,4929,0.85,0.82,0.3,0.33496544,0.45483697,1.1028369,0.57611888,1.045588,1.5626574,0.44692616,0,0,0,0.18841577
nu Oph c,7838.3235,12,3180.6,54.432802,4.5360668,5.9223835,2.3490021,313.45519,,Jovian,Hot,nu Oph,K,269.7566,-9.7741342,3.31216,4887,2.61,12.24,0.1,78.523563,6.97729,16.946994,8.8377849,16.067263,23.925651,0.60437434,0,0,0,0.3373425
75 Cet b,787.89662,13.3,696.62,4.4541615,0.33489936,1.9202684,14.220357,493.87889,,Jovian,Hot,75 Cet,G,38.03916,-1.0350269,5.3532,4809,1.92,10.38,0.1,51.760683,5.6843376,13.85188,7.2000753,13.132814,19.425122,0.4771582,0,0,0,0.13562122
gam Lib b,357.87479,13.7,414.88,1.9067334,0.13917762,1.3358832,45.934794,659.97527,,Jovian,Hot,gam Lib,K,233.88186,-14.789502,3.90672,4879,1.78,12.38,-0.27,78.886012,6.9958894,16.997813,8.861345,16.115443,23.980805,0.52472316,0,0,0,0.088135675
HD 113337 c,6299.6769,12.1,5429.9348,43.027641,3.5560034,6.8965136,0.091256564,139.29974,,Jovian,Cold,HD 113337,F,195.44385,63.610328,6.02078,6667.33,1.41,1.53,0.07,4.1686938,1.4531109,3.3652338,1.840501,3.1905497,5.5126925,10.48339,0,0,0,0.15992948
HD 28109 c,7.943,4.23,56.00819,0.4439191,0.10494541,0.3102287,30.34339,596.25222,,Neptunian,Hot,HD 28109,F,65.238306,-68.102688,9.42,6120,1.26,1.45,0,2.8575905,1.2425054,2.9037125,1.5737722,2.7529839,4.5641905,3.9431758,0,0,0,0.20694534
TOI-238 b,3.4,1.402,1.2730991,1.7297482,1.2337719,0.021523116,766.12592,1331.9858,1504.2687,Terran,Hot,TOI-238,K,349.23108,-18.606646,10.748,5059,0.79,0.73,-0.114,0.33806484,0.45411774,1.0954053,0.57520649,1.0385427,1.5698703,0.54529791,0,0,0,0.28487692
